Date,Open,High,Low,Close,Adj Close,Volume
2016-12-12,159.388138,159.455063,157.810699,158.221802,125.795090,3548346
2016-12-13,158.393875,162.476105,158.393875,160.889099,127.915695,6205186
2016-12-14,160.965576,162.418732,160.086044,161.099426,128.082977,4313913
2016-12-15,160.621414,162.380493,160.401535,160.630981,127.710518,3544476
2016-12-16,161.539200,161.673035,158.757172,159.397705,126.729996,7448148
2016-12-19,159.493301,159.904404,158.699814,159.349899,126.691978,3091871
2016-12-20,160.124283,160.850861,159.130020,160.229446,127.391266,2274632
2016-12-21,158.938812,160.554489,157.982788,159.971313,127.186035,3740182
2016-12-22,160.000000,160.831741,159.254303,159.713196,126.980812,2931520
2016-12-23,159.655838,160.124283,159.130020,159.378586,126.714783,1779455
2016-12-27,159.636703,160.592728,159.512421,159.789673,127.041634,1461785
2016-12-28,159.933075,160.363297,158.699814,158.881454,126.319542,1838345
2016-12-29,158.718933,159.646271,158.699814,159.273422,126.631165,1740021
2016-12-30,159.120453,159.369019,158.221802,158.690247,126.167511,3088629
2017-01-03,159.655838,160.487579,158.709366,159.837479,127.079659,3069278
2017-01-04,160.391968,162.399612,160.000000,161.816437,128.653015,3536944
2017-01-05,161.806885,161.940720,159.904404,161.281067,128.227356,2805686
2017-01-06,161.271515,162.447418,160.152969,162.074570,128.858246,3080993
2017-01-09,162.017212,162.332703,160.248566,160.277252,127.429298,3336635
2017-01-10,160.592728,160.697891,158.068832,158.240921,125.810265,4308160
2017-01-11,158.747604,160.382416,158.317398,160.372849,127.505318,3765077
2017-01-12,160.391968,160.621414,158.279160,160.564056,127.657303,3062165
2017-01-13,160.583176,161.070740,159.541107,159.980881,127.193649,3007668
2017-01-17,159.359467,160.783936,158.814529,160.506699,127.611702,3468222
2017-01-18,160.086044,161.175903,159.359467,159.464630,126.783195,4192159
2017-01-19,159.617584,160.086044,158.508606,159.474182,126.790794,7283716
2017-01-20,160.430206,163.135757,158.699814,163.049713,129.633545,13273740
2017-01-23,162.600388,163.718933,162.533463,163.508606,129.998383,5730197
2017-01-24,163.824097,168.260040,163.632889,168.164429,133.700043,7272210
2017-01-25,168.508606,171.367111,168.384323,170.449326,135.516647,6194935
2017-01-26,170.229446,171.013382,169.703629,170.803055,135.797882,3204839
2017-01-27,170.621414,171.319305,169.502869,169.502869,134.764160,3642486
2017-01-30,169.196945,169.282990,166.902481,168.068832,133.624039,4283161
2017-01-31,167.351822,167.858505,165.975143,166.845123,132.651093,4329394
2017-02-01,167.304016,167.973236,165.286804,166.625244,132.476273,2924302
2017-02-02,166.567871,167.275330,165.917786,166.902481,132.696701,2741043
2017-02-03,167.304016,168.585083,167.198853,168.087952,133.639206,3461528
2017-02-06,167.600388,168.240921,166.711288,168.126190,133.669617,2772737
2017-02-07,168.260040,170.764816,168.164429,170.611862,135.645859,4051681
2017-02-08,169.694077,169.694077,168.145309,168.422562,134.964005,3047103
2017-02-09,168.422562,169.980881,168.173996,169.416824,135.760803,3232872
2017-02-10,169.569794,171.003830,168.986618,170.822174,136.886917,3065512
2017-02-13,171.357559,171.988525,170.975143,171.472275,137.407867,3235696
2017-02-14,170.717010,172.208420,170.506699,172.208420,137.997803,2904219
